id,comp,cat,plat,crit,sup,country,cont,flag,geo,q,price,moq,aec,lt,ndaa,note,moqraw
AF-04,Tail assembly (elevator + rudder),Airframe & Structure,P1/P2,High,Protech Composites,USA,North America,🇺🇸,Low,4,$150–$400/assembly,20 units,"$40,000–$100,000/yr",2–4 wks,Yes,Custom UAV tail structures; CNC cut CF panels,
AF-04,Tail assembly (elevator + rudder),Airframe & Structure,P1/P2,High,DragonPlate,USA,North America,🇺🇸,Low,4,$120–$350/assembly,10 units,"$30,000–$80,000/yr",1–3 wks,Yes,Standard CF shapes adaptable for tail structures,
AF-04,Tail assembly (elevator + rudder),Airframe & Structure,P1/P2,High,CRP Technology (CRP USA),Italy,Europe,🇮🇹,Low,5,$300–$700/assembly,10 units,"$60,000–$150,000/yr",8–14 wks,Yes,Windform XT2 composite; flight-validated UAV structures; premium quality,
AF-05,Servo actuators (control surfaces),Airframe & Structure,P1/P2,High,Hitec RCD (Servoland),South Korea,Asia,🇰🇷,Medium,5,$40–$180/unit,50 units,"$30,000–$90,000/yr",2–4 wks,Yes,"Industry standard for UAV servos; HS-5086WP, D645MW widely used; ships from CA",50
AF-05,Servo actuators (control surfaces),Airframe & Structure,P1/P2,High,Futaba Corporation,Japan,Asia,🇯🇵,Medium,5,$50–$200/unit,20 units,"$35,000–$100,000/yr",3–6 wks,Yes,BLS and S series digital servos; widely used in professional UAVs,
AF-05,Servo actuators (control surfaces),Airframe & Structure,P1/P2,High,MKS Servos USA,USA,North America,🇺🇸,Low,4,$60–$220/unit,10 units,"$40,000–$110,000/yr",1–2 wks,Yes,High-torque digital servos; US stocking distributor; NDAA-friendly,
AF-05,Servo actuators (control surfaces),Airframe & Structure,P1/P2,High,Savox Servos,Taiwan,Asia,🇹🇼,Medium,4,$35–$160/unit,50 units,"$25,000–$80,000/yr",3–5 wks,Yes,Cost-effective UAV-grade servos; Taiwan origin reduces China geo risk,
AF-05,Servo actuators (control surfaces),Airframe & Structure,P1/P2,High,Volz Servos,Germany,Europe,🇩🇪,Low,5,$150–$500/unit,10 units,"$80,000–$200,000/yr",6–10 wks,Yes,Aerospace-certified DA servos; used in military UAVs; highest reliability tier,
PR-01,Brushless DC motor (cruise),Propulsion,P1/P2,High,KDE Direct,USA,North America,🇺🇸,Low,5,$120–$450/unit,10 units,"$80,000–$200,000/yr",1–3 wks,Yes,NDAA-compliant; industrial UAV motors; manufactured USA; preferred for defense-adjacent programs,
PR-01,Brushless DC motor (cruise),Propulsion,P1/P2,High,T-Motor (Nanchang),China,Asia,🇨🇳,High,5,$60–$280/unit,10 units,"$40,000–$120,000/yr",4–8 wks,No,World-leading UAV motor quality; dominates market; high geo + NDAA risk,
PR-01,Brushless DC motor (cruise),Propulsion,P1/P2,High,NeuMotors,USA,North America,🇺🇸,Low,5,$200–$600/unit,5 units,"$100,000–$250,000/yr",2–6 wks,Yes,High-end aerospace UAV motors; used in research & military programs,
PR-01,Brushless DC motor (cruise),Propulsion,P1/P2,High,Hacker Motor GmbH,Germany,Europe,🇩🇪,Low,5,$80–$350/unit,10 units,"$60,000–$180,000/yr",5–9 wks,Yes,High-efficiency BLDC motors; popular in fixed-wing UAV applications,
PR-01,Brushless DC motor (cruise),Propulsion,P1/P2,High,Plettenberg Motoren,Germany,Europe,🇩🇪,Low,5,$180–$700/unit,5 units,"$120,000–$300,000/yr",8–14 wks,Yes,Premium CF motors; very high efficiency; aerospace-grade,
PR-01,Brushless DC motor (cruise),Propulsion,P1/P2,High,Lumenier (GetFPV/TBS),USA,North America,🇺🇸,Low,4,$50–$180/unit,10 units,"$30,000–$80,000/yr",1–2 wks,Yes,Commercial UAV motors; good availability; ships from FL,
PR-02,Electronic Speed Controller (ESC),Propulsion,P1/P2,High,Hobbywing Technology,China,Asia,🇨🇳,High,5,$45–$280/unit,10 units,"$40,000–$150,000/yr",3–7 wks,No,Global market leader; Platinum & XRotor series for UAV; high geo + NDAA risk,
PR-02,Electronic Speed Controller (ESC),Propulsion,P1/P2,High,Castle Creations,USA,North America,🇺🇸,Low,5,$60–$350/unit,5 units,"$50,000–$180,000/yr",1–3 wks,Yes,NDAA-compliant; engineered USA; Talon series for fixed-wing; preferred backup,
PR-02,Electronic Speed Controller (ESC),Propulsion,P1/P2,High,T-Motor (ESC line),China,Asia,🇨🇳,High,5,$40–$220/unit,10 units,"$35,000–$120,000/yr",4–8 wks,No,Matched to T-Motor motors; high quality but China-sourced,
PR-02,Electronic Speed Controller (ESC),Propulsion,P1/P2,High,Advanced Power Drives (APD),UK,Europe,🇬🇧,Low,5,$80–$400/unit,5 units,"$60,000–$200,000/yr",5–10 wks,Yes,Defence-grade ESCs; high reliability; used in military UAVs; UK-origin,
PR-02,Electronic Speed Controller (ESC),Propulsion,P1/P2,High,Currawong Engineering,Australia,Oceania,🇦🇺,Low,5,$150–$500/unit,5 units,"$80,000–$220,000/yr",7–12 wks,Yes,Velocity ESC; aerospace-grade; used in BVLOS commercial platforms,
PR-02,Electronic Speed Controller (ESC),Propulsion,P1/P2,High,Embention,Spain,Europe,🇪🇸,Low,4,$100–$350/unit,5 units,"$60,000–$160,000/yr",8–12 wks,Yes,Industrial UAV ESC + autopilot integration; EU-origin,
PR-03,Fixed propellers (main),Propulsion,P1/P2,Med,KDE Direct (CF Propellers),USA,North America,🇺🇸,Low,5,$80–$220/pair,10 pairs,"$20,000–$60,000/yr",1–2 wks,Yes,CNC-balanced CF propeller blades; UAV-grade; US-made,
PR-03,Fixed propellers (main),Propulsion,P1/P2,Med,T-Motor Propellers,China,Asia,🇨🇳,High,5,$25–$90/pair,20 pairs,"$10,000–$30,000/yr",4–8 wks,No,High quality; affordable; China geo risk,
PR-03,Fixed propellers (main),Propulsion,P1/P2,Med,APC Propellers,USA,North America,🇺🇸,Low,4,$15–$60/unit,20 units,"$8,000–$25,000/yr",1–2 wks,Yes,Nylon/glass-filled propellers; wide size range; Woodland CA → SF ~1 day,
PR-03,Fixed propellers (main),Propulsion,P1/P2,Med,Mejzlik Propellers,Czech Republic,Europe,🇨🇿,Low,5,$40–$120/unit,10 units,"$12,000–$40,000/yr",6–10 wks,Yes,Premium CF competition props; European; high performance,
PW-01,LiPo/Li-ion main flight battery,Power & Energy,P1/P2,High,Grepow / Tattu (Shenzhen),China,Asia,🇨🇳,High,5,$280–$650/pack,10 units,"$80,000–$200,000/yr",4–8 wks,No,Market leader UAV LiPo; Tattu Pro series; 600+ cycle life; primary risk: China geo + tariff,
PW-01,LiPo/Li-ion main flight battery,Power & Energy,P1/P2,High,MaxAmps Lithium Batteries,USA,North America,🇺🇸,Low,5,$400–$900/pack,5 units,"$120,000–$280,000/yr",1–3 wks,Yes,"Hand-assembled USA; serves Boeing, NASA, DoD; NDAA-safe; Spokane WA",
PW-01,LiPo/Li-ion main flight battery,Power & Energy,P1/P2,High,Epec Engineered Technologies,USA,North America,🇺🇸,Low,4,$350–$800/pack custom,10 units,"$100,000–$250,000/yr",4–8 wks custom,Yes,Custom UAV battery packs; US-assembled; military program experience,
PW-01,LiPo/Li-ion main flight battery,Power & Energy,P1/P2,High,Tianjin Lishen Battery,China,Asia,🇨🇳,High,4,$200–$500/pack,50 units,"$60,000–$180,000/yr",6–12 wks,No,Large-scale Li-ion cell mfr; custom packs; high geo risk; EV/drone dual use,
PW-01,LiPo/Li-ion main flight battery,Power & Energy,P1/P2,High,EaglePicher Technologies,USA,North America,🇺🇸,Low,5,"$600–$1,500/pack",5 units,"$200,000–$400,000/yr",8–16 wks,Yes,Aerospace-grade Li batteries; DoD contractor; premium tier; long lead,
PW-01,LiPo/Li-ion main flight battery,Power & Energy,P1/P2,High,Kokam (SFC Energy),South Korea,Asia,🇰🇷,Medium,5,$400–$850/pack,10 units,"$130,000–$300,000/yr",8–14 wks,Yes,High-energy LiPo cells for UAV; Korea-origin; lower geo risk than China,
PW-02,Battery Management System (BMS),Power & Energy,P1/P2,High,Texas Instruments,USA,North America,🇺🇸,Low,5,$15–$60/IC,100 units,"$15,000–$50,000/yr",8–20 wks (chip shortage risk),Yes,BQ series BMS ICs; widely used; fab risk: semiconductor shortage 2021–23 still echoing,
PW-02,Battery Management System (BMS),Power & Energy,P1/P2,High,Analog Devices (ADI),USA,North America,🇺🇸,Low,5,$20–$80/IC,50 units,"$20,000–$60,000/yr",10–24 wks,Yes,LTC6811 multi-cell BMS; aerospace-grade; long lead during shortages,
PW-02,Battery Management System (BMS),Power & Energy,P1/P2,High,Digi-Key (distributor — TI/ADI),USA,North America,🇺🇸,Low,5,$18–$75/IC,1 unit,"$12,000–$40,000/yr",In-stock to 2 wks,Yes,Distributor with buffer stock; best for spot buying; Thief River Falls MN → SF ~4 days ship,
PW-02,Battery Management System (BMS),Power & Energy,P1/P2,High,Renesas Electronics,Japan,Asia,🇯🇵,Medium,5,$12–$55/IC,100 units,"$10,000–$35,000/yr",12–20 wks,Yes,ISL943x BMS IC family; Japan fab; good geo diversity from US/China,
NA-01,GNSS / GPS module,Navigation & Sensing,P1/P2,High,u-blox AG,Switzerland,Europe,🇨🇭,Low,5,$35–$280/unit,10 units,"$30,000–$120,000/yr",4–12 wks (varies by model),Yes,ZED-F9P RTK (cm-level); NEO-M9N (0.7m); market-leading drone GNSS; Swiss fab,
NA-01,GNSS / GPS module,Navigation & Sensing,P1/P2,High,Trimble (OEM GNSS),USA,North America,🇺🇸,Low,5,$200–$800/unit,5 units,"$80,000–$250,000/yr",6–14 wks,Yes,High-precision GNSS boards; used in commercial UAV survey platforms,
NA-01,GNSS / GPS module,Navigation & Sensing,P1/P2,High,Novatel (Hexagon),Canada,North America,🇨🇦,Low,5,"$300–$1,200/unit",5 units,"$100,000–$350,000/yr",8–16 wks,Yes,OEM-7 series; RTK; used in autonomous vehicles and UAVs; premium tier,
NA-01,GNSS / GPS module,Navigation & Sensing,P1/P2,High,Septentrio,Belgium,Europe,🇧🇪,Low,5,"$400–$1,500/unit",2 units,"$120,000–$400,000/yr",8–14 wks,Yes,mosaic-X5 module; anti-jamming/spoofing; BVLOS-grade; used in Zipline-adjacent platforms,
NA-01,GNSS / GPS module,Navigation & Sensing,P1/P2,High,Beitian Communication (CUAV distributor),China,Asia,🇨🇳,High,3,$15–$80/unit,5 units,"$8,000–$25,000/yr",3–6 wks,No,u-blox chipset reseller; cheap but geo risk + authenticity concerns,
NA-01,GNSS / GPS module,Navigation & Sensing,P1/P2,High,Matek Systems,Taiwan,Asia,🇹🇼,Medium,4,$25–$90/unit,10 units,"$12,000–$40,000/yr",3–6 wks,Yes,SAM-M10Q & M9N-based modules; good quality/price; Taiwan-origin,
NA-02,Computer vision / optical sensor,Navigation & Sensing,P2,High,Sony Semiconductor Solutions,Japan,Asia,🇯🇵,Medium,5,$40–$200/sensor,50 units,"$40,000–$150,000/yr",10–20 wks,Yes,IMX series CMOS sensors; gold standard for UAV vision; design-in lead is long,
NA-02,Computer vision / optical sensor,Navigation & Sensing,P2,High,OmniVision Technologies,USA,North America,🇺🇸,Low,4,$15–$100/sensor,100 units,"$30,000–$100,000/yr",14–26 wks,Yes,OV series CMOS; widely used; fab in Taiwan; semiconductor lead risk,
NA-02,Computer vision / optical sensor,Navigation & Sensing,P2,High,ON Semiconductor (onsemi),USA,North America,🇺🇸,Low,4,$20–$120/sensor,50 units,"$35,000–$110,000/yr",16–28 wks,Yes,AR0234 global shutter; used in UAV obstacle avoidance,
NA-02,Computer vision / optical sensor,Navigation & Sensing,P2,High,Teledyne FLIR,USA,North America,🇺🇸,Low,5,$200–$800/unit,5 units,"$80,000–$300,000/yr",8–16 wks,Yes,Boson thermal + visible sensors; used in delivery drone obstacle detection,
NA-03,Obstacle avoidance sensor,Navigation & Sensing,P1/P2,High,Garmin LiDAR-Lite (Acuity),USA,North America,🇺🇸,Low,4,$130–$250/unit,10 units,"$25,000–$80,000/yr",2–4 wks,Yes,LiDAR-Lite v3/v4; popular UAV rangefinder; good availability,
NA-03,Obstacle avoidance sensor,Navigation & Sensing,P1/P2,High,Benewake (TF-series LiDAR),China,Asia,🇨🇳,High,4,$60–$250/unit,10 units,"$15,000–$60,000/yr",4–8 wks,No,TFmini/TFLuna widely adopted; low cost; high geo risk,
NA-03,Obstacle avoidance sensor,Navigation & Sensing,P1/P2,High,Leddartech,Canada,North America,🇨🇦,Low,5,$200–$600/unit,5 units,"$60,000–$200,000/yr",8–14 wks,Yes,Pixell solid-state LiDAR; automotive + UAV; Canada-origin,
NA-03,Obstacle avoidance sensor,Navigation & Sensing,P1/P2,High,Ouster (Lidar — now Sense),USA,North America,🇺🇸,Low,5,"$3,000–$8,000/unit",1 unit,"$100,000–$300,000/yr",8–16 wks,Yes,OS0 series; high-end 3D lidar; premium; used in autonomous delivery,
CM-01,LTE / 4G cellular modem,Communication,P1/P2,High,Sierra Wireless (Semtech),Canada,North America,🇨🇦,Low,5,$80–$250/module,10 units,"$25,000–$90,000/yr",6–16 wks,Yes,RV55 / EM919x LTE Cat 12; widely used in BVLOS UAV C2 links,
CM-01,LTE / 4G cellular modem,Communication,P1/P2,High,Telit Cinterion,UK,Europe,🇬🇧,Low,4,$60–$200/module,10 units,"$20,000–$70,000/yr",8–14 wks,Yes,LM940 LTE-A module; used in UAV telemetry; UK-origin,
CM-01,LTE / 4G cellular modem,Communication,P1/P2,High,u-blox (SARA-R4 / LARA-R6),Switzerland,Europe,🇨🇭,Low,5,$45–$150/module,50 units,"$20,000–$65,000/yr",8–18 wks,Yes,LTE-M/NB-IoT + Cat 1; compact UAV form factor; Swiss design,
CM-01,LTE / 4G cellular modem,Communication,P1/P2,High,Quectel Wireless,China,Asia,🇨🇳,High,4,$25–$100/module,50 units,"$10,000–$35,000/yr",4–10 wks,No,EC21/EC25 LTE modules; very low cost; high geo risk; NDAA concern,
CM-01,LTE / 4G cellular modem,Communication,P1/P2,High,SkyWave (Iridium ecosystem),USA,North America,🇺🇸,Low,4,$200–$500/module,5 units,"$40,000–$150,000/yr",4–10 wks,Yes,Satellite backup to LTE for remote ops; adds resilience,
CM-02,RF telemetry module,Communication,P1/P2,High,Microhard Systems,Canada,North America,🇨🇦,Low,5,$150–$600/unit,5 units,"$30,000–$120,000/yr",4–10 wks,Yes,pDDL900 / n920 series; UAV datalink standard; BVLOS proven,
CM-02,RF telemetry module,Communication,P1/P2,High,FreeWave Technologies,USA,North America,🇺🇸,Low,5,$200–$800/unit,5 units,"$40,000–$150,000/yr",4–10 wks,Yes,900 MHz FHSS; used in BVLOS military and commercial drones; CO-based,
CM-02,RF telemetry module,Communication,P1/P2,High,RFD (RFDesign Pty),Australia,Oceania,🇦🇺,Low,4,$80–$300/unit,5 units,"$20,000–$80,000/yr",5–10 wks,Yes,RFD900x; popular MAVLink telemetry radio; 40km+ range,
CM-02,RF telemetry module,Communication,P1/P2,High,Digi International (XBee),USA,North America,🇺🇸,Low,4,$40–$180/unit,10 units,"$12,000–$50,000/yr",2–6 wks,Yes,XBee 900HP; reliable mesh-capable; lower bandwidth but robust,
CM-04,ADS-B transponder,Communication,P1/P2,High,uAvionix,USA,North America,🇺🇸,Low,5,$200–$800/unit,5 units,"$40,000–$180,000/yr",In-stock to 4 wks,Yes,ping200XR (TSO-certified); #1 UAV ADS-B brand; FAA-approved BVLOS; Bozeman MT,
CM-04,ADS-B transponder,Communication,P1/P2,High,Sagetech Avionics,USA,North America,🇺🇸,Low,5,"$800–$2,500/unit",2 units,"$80,000–$300,000/yr",4–12 wks,Yes,MXS/XP series; FAA TSO-certified; 1.5M+ mission hours; Bingen WA,
CM-04,ADS-B transponder,Communication,P1/P2,High,Aerobits,Poland,Europe,🇵🇱,Low,4,$150–$600/unit,5 units,"$30,000–$120,000/yr",6–12 wks,Yes,TT-SC1 ADS-B; SWaP optimized; EU-origin; growing UAV market share,
AV-01,Flight controller / autopilot unit,Avionics & Flight Control,P1/P2,High,Cubic Defense (custom MCU integration),USA,North America,🇺🇸,Low,5,"$500–$2,000/unit",5 units,"$100,000–$400,000/yr",12–24 wks,Yes,Custom FC for commercial BVLOS; integrators for Zipline-class systems,
AV-01,Flight controller / autopilot unit,Avionics & Flight Control,P1/P2,High,Auterion (Skynode),Switzerland,Europe,🇨🇭,Low,5,"$800–$2,500/unit",5 units,"$120,000–$450,000/yr",8–16 wks,Yes,Enterprise autopilot platform; used in delivery drones; PX4-based,
AV-01,Flight controller / autopilot unit,Avionics & Flight Control,P1/P2,High,Holybro (Pixhawk 6X OEM),China,Asia,🇨🇳,High,4,$200–$500/unit,5 units,"$40,000–$120,000/yr",3–7 wks,No,Pixhawk-standard FC; good quality; but China-sourced; NDAA risk,
AV-01,Flight controller / autopilot unit,Avionics & Flight Control,P1/P2,High,Embention Veronte,Spain,Europe,🇪🇸,Low,5,"$2,000–$6,000/unit",2 units,"$200,000–$600,000/yr",12–20 wks,Yes,DO-178C certifiable autopilot; used in commercial delivery UAVs; EU,
AV-01,Flight controller / autopilot unit,Avionics & Flight Control,P1/P2,High,Micropilot Inc.,Canada,North America,🇨🇦,Low,5,"$3,000–$8,000/unit",2 units,"$200,000–$800,000/yr",10–18 wks,Yes,MP2128LRC; hardened autopilot for commercial/defense BVLOS platforms,
AV-02,Inertial Measurement Unit (IMU),Avionics & Flight Control,P1/P2,High,InvenSense (TDK),Japan,Asia,🇯🇵,Medium,5,$8–$35/IC,100 units,"$12,000–$40,000/yr",12–24 wks,Yes,ICM-42688 6-axis; most common UAV IMU; TDK-Japan fab,
AV-02,Inertial Measurement Unit (IMU),Avionics & Flight Control,P1/P2,High,Bosch Sensortec,Germany,Europe,🇩🇪,Low,5,$5–$25/IC,100 units,"$8,000–$30,000/yr",10–20 wks,Yes,BMI088/270; vibration-robust; UAV autopilot standard,
AV-02,Inertial Measurement Unit (IMU),Avionics & Flight Control,P1/P2,High,STMicroelectronics,Switzerland,Europe,🇨🇭,Low,5,$4–$20/IC,100 units,"$6,000–$25,000/yr",10–22 wks,Yes,LSM6DSO/ISM330; widely used in Pixhawk-class FCs; fab Switzerland/Italy,
AV-02,Inertial Measurement Unit (IMU),Avionics & Flight Control,P1/P2,High,Analog Devices (ADIS series),USA,North America,🇺🇸,Low,5,$200–$800/unit tactical grade,5 units,"$50,000–$200,000/yr",16–30 wks,Yes,ADIS16505; tactical-grade IMU; used in commercial BVLOS and defense UAVs,
AV-06,Processor / microcontroller (MCU),Avionics & Flight Control,P1/P2,High,Texas Instruments (Hercules),USA,North America,🇺🇸,Low,5,$20–$80/unit,50 units,"$15,000–$50,000/yr",16–40 wks (shortage risk),Yes,TMS570 Hercules ASIL-D; confirmed in Zipline FC per EFC source; critical semiconductor,
AV-06,Processor / microcontroller (MCU),Avionics & Flight Control,P1/P2,High,Microchip Technology (Atmel heritage),USA,North America,🇺🇸,Low,5,$10–$50/unit,50 units,"$10,000–$40,000/yr",14–36 wks (shortage risk),Yes,SAM E/V series; Atmel AT32 confirmed in Zipline; shortage-prone during 2021-23,
AV-06,Processor / microcontroller (MCU),Avionics & Flight Control,P1/P2,High,STMicroelectronics (STM32),Switzerland,Europe,🇨🇭,Low,5,$5–$30/unit,100 units,"$8,000–$30,000/yr",12–30 wks,Yes,STM32H7/F4; most common UAV FC MCU; fab EU/Singapore,
AV-06,Processor / microcontroller (MCU),Avionics & Flight Control,P1/P2,High,NXP Semiconductors,Netherlands,Europe,🇳🇱,Low,5,$8–$40/unit,50 units,"$10,000–$35,000/yr",14–32 wks,Yes,i.MX RT crossover; S32 series; EU-origin; fab in various geographies,
PL-01,Payload bay / cargo compartment,Payload & Delivery,P1/P2,Med,Pelican Products,USA,North America,🇺🇸,Low,4,$30–$120/unit,50 units,"$15,000–$50,000/yr",1–3 wks,Yes,Custom-cut foam insert for medical payload; Torrance CA → SF same-day possible,
PL-01,Payload bay / cargo compartment,Payload & Delivery,P1/P2,Med,Cryopak (Phase change inserts),USA,North America,🇺🇸,Low,4,$8–$40/insert,100 units,"$10,000–$30,000/yr",1–2 wks,Yes,PCM cold chain inserts for vaccine/blood delivery; key Zipline cold chain enabler,
PL-01,Payload bay / cargo compartment,Payload & Delivery,P1/P2,Med,Sonoco ThermoSafe,USA,North America,🇺🇸,Low,5,$15–$60/unit,50 units,"$15,000–$50,000/yr",2–4 wks,Yes,Pharmaceutical-grade thermal packaging; used in blood logistics globally,
PL-02,Parachute release mechanism (P1),Payload & Delivery,P1,High,Fruity Chutes,USA,North America,🇺🇸,Low,4,$80–$400/assembly,10 units,"$20,000–$80,000/yr",1–3 wks,Yes,UAV-grade parachutes + release hardware; Sacramento CA → SF ~1.5 hrs,
PL-02,Parachute release mechanism (P1),Payload & Delivery,P1,High,Butler Parachute Systems,USA,North America,🇺🇸,Low,5,$200–$800/assembly,5 units,"$40,000–$150,000/yr",4–10 wks,Yes,Defense-grade parachute systems; higher reliability tier,
PL-02,Parachute release mechanism (P1),Payload & Delivery,P1,High,Indemnis (Nexus parachute),USA,North America,🇺🇸,Low,5,"$500–$2,000/system",5 units,"$80,000–$300,000/yr",6–14 wks,Yes,FAA-accepted UAV ballistic parachute; Anchorage AK; used in drone delivery safety,
PL-03,Winch / tether system (P2),Payload & Delivery,P2,High,Maxon Motor AG,Switzerland,Europe,🇨🇭,Low,5,"$400–$1,500/motor+gearbox",5 units,"$80,000–$280,000/yr",8–16 wks,Yes,Precision DC motors for winch actuation; aerospace-qualified; Swiss precision,
PL-03,Winch / tether system (P2),Payload & Delivery,P2,High,Faulhaber Group,Germany,Europe,🇩🇪,Low,5,"$300–$1,200/unit",5 units,"$70,000–$250,000/yr",10–18 wks,Yes,Micro DC motors + gearheads; UAV payload winch; German precision,
PL-03,Winch / tether system (P2),Payload & Delivery,P2,High,Allied Motion (Allient),USA,North America,🇺🇸,Low,5,"$350–$1,300/unit",5 units,"$75,000–$260,000/yr",10–20 wks,Yes,Precision brushless motors for UAV actuation; US-made; defense-grade,
SF-01,Emergency parachute system,Safety & Redundancy,P1/P2,High,Indemnis,USA,North America,🇺🇸,Low,5,"$500–$2,000/system",5 units,"$80,000–$300,000/yr",6–14 wks,Yes,Nexus ballistic parachute; FAA-accepted for BVLOS; Zipline-class drones,
SF-01,Emergency parachute system,Safety & Redundancy,P1/P2,High,Fruity Chutes,USA,North America,🇺🇸,Low,4,$150–$600/system,10 units,"$30,000–$100,000/yr",1–4 wks,Yes,UAV recovery parachute systems; fast delivery; CA-based,
SF-01,Emergency parachute system,Safety & Redundancy,P1/P2,High,Drone Rescue Systems,Austria,Europe,🇦🇹,Low,5,"$800–$2,500/system",2 units,"$100,000–$350,000/yr",8–16 wks,Yes,DRS-M600 parachute; used in commercial delivery drones; EU-certified,
GS-01,Pneumatic launch rail / catapult,Ground Support,P1,High,Robonic Ltd,Finland,Europe,🇫🇮,Low,5,"$20,000–$80,000/system",1 unit,"$50,000–$200,000/yr",12–24 wks,Yes,Pneumatic UAV launcher systems; military & commercial BVLOS; Finland,
GS-01,Pneumatic launch rail / catapult,Ground Support,P1,High,UAV Factory,Latvia,Europe,🇱🇻,Low,4,"$15,000–$60,000/system",1 unit,"$30,000–$150,000/yr",16–28 wks,Yes,Penguin C launcher; fixed-wing UAV catapult; EU-based,
GS-01,Pneumatic launch rail / catapult,Ground Support,P1,High,JATO Dynamics (custom),USA,North America,🇺🇸,Low,5,"$25,000–$100,000/system custom",1 unit,"$50,000–$250,000/yr",16–32 wks,Yes,Custom pneumatic/bungee launch systems for commercial UAV OEMs,
GS-03,Ground control server / software,Ground Support,P1/P2,High,Dell Technologies (server hardware),USA,North America,🇺🇸,Low,5,"$3,000–$15,000/server",1 unit,"$20,000–$80,000/yr",2–6 wks,Yes,Edge servers for distribution center GCS; redundant rack hardware,
GS-03,Ground control server / software,Ground Support,P1/P2,High,Hewlett Packard Enterprise,USA,North America,🇺🇸,Low,5,"$4,000–$20,000/server",1 unit,"$25,000–$100,000/yr",3–8 wks,Yes,HPE ProLiant edge servers; ruggedized options for field deployment,
GS-03,Ground control server / software,Ground Support,P1/P2,High,Cisco Systems (networking),USA,North America,🇺🇸,Low,5,"$2,000–$10,000/unit",2 units,"$15,000–$60,000/yr",4–12 wks,Yes,Network switches for GCS redundancy; US-origin critical infrastructure,
