id,component,category,platform,criticality_label,criticality,normal_lead_time,peak_lead_time,lead_time_score,viable_suppliers,capacity_score,geo_risk_view,geo_score,composite_risk,priority_score,recommendation,note,supplier_preview,bom_pct,price_volatility_score,single_source_exposure
PR-04,VTOL lift motors (P2 Zip),Propulsion,P2,High,4,TBD,TBD,,,,Supplier mapping pending for this component,,,,Supplier mapping pending,Articulating propellers for vertical hover and transition flight on P2 platform.,TBD,5.0,3,
PR-05,Droid thruster motors (P2),Propulsion,P2,High,4,TBD,TBD,,,,Supplier mapping pending for this component,,,,Supplier mapping pending,Thrusters on the Droid for precision positioning in wind during descent. Multi-axis.,TBD,5.0,3,
PR-06,Motor mount / frame arms,Propulsion,P1/P2,Low,1,TBD,TBD,,,,Supplier mapping pending for this component,,,,Supplier mapping pending,Structural mounts for motors on airframe. Carbon fiber or aluminum.,TBD,5.0,3,
PW-01,LiPo / Li-ion main flight battery,Power & Energy,P1/P2,High,4,4–8 wks custom,8–16 wks,3,6,2,High concentration risk with significant exposure to elevated-risk sourcing,3,2.7,10.8,Dual-source candidate,Two interchangeable batteries on P1 per EFC. Quick-swap design for rapid turnaround. High geo risk (China-sourced cells).,"Grepow / Tattu (Shenzhen), MaxAmps Lithium Batteries, Epec Engineered Technologies +3 more",18.0,4,1
PW-02,Battery management system (BMS),Power & Energy,P1/P2,High,4,8–20 wks (chip shortage risk),10–24 wks,1,4,2,Mixed geographic exposure with some diversification,2,1.7,6.8,Monitor,"Monitors cell voltage, temperature, state of charge. Embedded in or paired with battery pack.","Texas Instruments, Analog Devices (ADI), Digi-Key (distributor — TI/ADI) +1 more",18.0,4,2
PW-03,Power distribution board (PDB),Power & Energy,P1/P2,Med,3,TBD,TBD,,,,Supplier mapping pending for this component,,,,Supplier mapping pending,"Distributes power from battery to ESCs, flight controller, avionics. Often PCB-integrated.",TBD,4.0,3,
PW-04,Voltage regulators (BEC),Power & Energy,P1/P2,Med,3,TBD,TBD,,,,Supplier mapping pending for this component,,,,Supplier mapping pending,"Steps down voltage for servos, FC, and sensors. Battery eliminator circuit.",TBD,4.0,3,
PW-05,Droid battery pack (P2),Power & Energy,P2,High,4,TBD,TBD,,,,Supplier mapping pending for this component,,,,Supplier mapping pending,Separate battery powering Droid thrusters and sensors during descent/delivery sequence.,TBD,18.0,4,
AV-01,Flight controller / autopilot unit,Avionics & Flight Control,P1/P2,High,4,12–20 wks,12–24 wks,1,5,2,"Moderate concentration, but diversified options exist",2,1.7,6.8,Monitor,Proprietary ZipNav software; runs on Hercules + Atmel processors per EFC. Custom RTOS (Micrium).,"Cubic Defense (custom MCU integration), Auterion (Skynode), Holybro (Pixhawk 6X OEM) +2 more",6.0,4,2
AV-02,Inertial Measurement Unit (IMU),Avionics & Flight Control,P1/P2,High,4,12–24 wks,16–30 wks,1,4,2,"Moderate concentration, but diversified options exist",2,1.7,6.8,Monitor,Accelerometers + gyroscopes for orientation and stability. Critical for autonomous flight.,"InvenSense (TDK), Bosch Sensortec, STMicroelectronics +1 more",6.0,4,2
AV-03,Barometric pressure sensor,Avionics & Flight Control,P1/P2,Med,3,TBD,TBD,,,,Supplier mapping pending for this component,,,,Supplier mapping pending,Altitude estimation. Used in conjunction with GPS. MEMS-based sensor.,TBD,4.0,4,
AV-04,Magnetometer / compass,Avionics & Flight Control,P1/P2,Med,3,TBD,TBD,,,,Supplier mapping pending for this component,,,,Supplier mapping pending,Heading reference for navigation. Usually integrated with GPS module.,TBD,4.0,4,
AV-05,Airspeed sensor (pitot tube),Avionics & Flight Control,P1,Med,3,TBD,TBD,,,,Supplier mapping pending for this component,,,,Supplier mapping pending,Critical for fixed-wing stall prevention. Measures differential pressure for True airspeed.,TBD,4.0,4,
AV-06,Processor / microcontroller (MCU),Avionics & Flight Control,P1/P2,High,4,14–36 wks (shortage risk),16–40 wks (shortage risk),1,4,2,"Moderate concentration, but diversified options exist",1,1.3,5.2,Monitor,Hercules (TI) and Atmel MCUs confirmed by EFC. Semiconductor supply chain risk.,"Texas Instruments (Hercules), Microchip Technology (Atmel heritage), STMicroelectronics (STM32) +1 more",6.0,4,2
NA-01,GNSS / GPS module,Navigation & Sensing,P1/P2,High,4,6–14 wks,8–16 wks,1,6,2,"Moderate concentration, but diversified options exist",2,1.7,6.8,Monitor,Multi-constellation (GPS + GLONASS) for positioning accuracy. Coordinates logged for delivery routing.,"u-blox AG, Trimble (OEM GNSS), Novatel (Hexagon) +3 more",6.0,4,1
NA-02,Computer vision / optical sensor,Navigation & Sensing,P2,High,4,10–20 wks,16–28 wks,1,4,2,Mixed geographic exposure with some diversification,2,1.7,6.8,Monitor,"Droid uses visual sensors to identify delivery site, detect obstacles during descent. IEEE Spectrum confirmed.","Sony Semiconductor Solutions, OmniVision Technologies, ON Semiconductor (onsemi) +1 more",6.0,4,2
NA-03,Obstacle avoidance sensor,Navigation & Sensing,P1/P2,High,4,8–14 wks,8–16 wks,1,4,2,"Moderate concentration, but diversified options exist",2,1.7,6.8,Monitor,Performs 500 safety checks per second per MKBHD source. Likely lidar or ultrasonic + camera fusion.,"Garmin LiDAR-Lite (Acuity), Benewake (TF-series LiDAR), Leddartech +1 more",6.0,4,2
NA-04,Rangefinder / altimeter,Navigation & Sensing,P1/P2,Med,3,TBD,TBD,,,,Supplier mapping pending for this component,,,,Supplier mapping pending,Precise altitude for landing and delivery. Laser or ultrasonic type.,TBD,4.0,3,
NA-05,Winch / tether encoder (P2),Navigation & Sensing,P2,Med,3,TBD,TBD,,,,Supplier mapping pending for this component,,,,Supplier mapping pending,Measures tether length and tension during Droid descent. Integrated into P2 Zip belly mechanism.,TBD,5.0,3,
CM-01,LTE / 4G cellular modem,Communication,P1/P2,High,4,6–16 wks,8–18 wks,1,5,2,"Moderate concentration, but diversified options exist",2,1.7,6.8,Monitor,Primary BVLOS communication link to ground control. Critical for regulatory compliance.,"Sierra Wireless (Semtech), Telit Cinterion, u-blox (SARA-R4 / LARA-R6) +2 more",6.0,4,2
CM-02,RF telemetry module,Communication,P1/P2,High,4,4–10 wks,5–10 wks,1,4,2,"Moderate concentration, but diversified options exist",1,1.3,5.2,Monitor,Backup / redundant data link. 2.4 GHz or 900 MHz band. Real-time telemetry to ground station.,"Microhard Systems, FreeWave Technologies, RFD (RFDesign Pty) +1 more",5.0,3,2
CM-03,Antenna (LTE + RF),Communication,P1/P2,Med,3,TBD,TBD,,,,Supplier mapping pending for this component,,,,Supplier mapping pending,Multiple antennas for LTE and RF links. Blade or patch type.,TBD,4.0,3,
CM-04,ADS-B transponder,Communication,P1/P2,High,4,4–12 wks,6–12 wks,1,3,3,Mixed geographic exposure with some diversification,1,1.6,6.4,Monitor,FAA-required for BVLOS operations in US. Broadcasts position to manned aircraft.,"uAvionix, Sagetech Avionics, Aerobits",5.0,3,3
PL-01,Payload bay / cargo compartment,Payload & Delivery,P1/P2,Med,3,1–3 wks,2–4 wks,2,3,3,Low regional diversity; sourcing clustered in one country,1,1.9,5.7,Monitor,P1: up to 1.75 kg; P2 Droid: 2.5–3.5 kg. Thermally insulated for vaccine cold-chain delivery.,"Pelican Products, Cryopak (Phase change inserts), Sonoco ThermoSafe",3.0,2,3
PL-02,Parachute release mechanism (P1),Payload & Delivery,P1,High,4,4–10 wks,6–14 wks,1,3,3,Low regional diversity; sourcing clustered in one country,1,1.6,6.4,Monitor,Drops medical package at target zone. 5m diameter landing accuracy. Servo-actuated release.,"Fruity Chutes, Butler Parachute Systems, Indemnis (Nexus parachute)",5.0,3,3
PL-03,Winch / tether system (P2),Payload & Delivery,P2,High,4,10–18 wks,10–20 wks,1,3,3,"Moderate concentration, but diversified options exist",1,1.6,6.4,Monitor,Lowers Droid from Zip at 300 ft altitude. Motor-driven spool with tension control. Core P2 innovation.,"Maxon Motor AG, Faulhaber Group, Allied Motion (Allient)",5.0,3,3
PL-04,Thermal insulation liner,Payload & Delivery,P1/P2,Low,1,TBD,TBD,,,,Supplier mapping pending for this component,,,,Supplier mapping pending,Maintains cold-chain for vaccines and blood products. Phase-change materials or foam insert.,TBD,3.0,2,
SF-01,Emergency parachute system,Safety & Redundancy,P1/P2,High,4,6–14 wks,8–16 wks,1,3,3,Mixed geographic exposure with some diversification,1,1.6,6.4,Monitor,Deployed on catastrophic failure. Confirmed on P1 (EFC). Last-resort safe descent for 20 kg drone.,"Indemnis, Fruity Chutes, Drone Rescue Systems",5.0,3,3
SF-02,Redundant flight controller,Safety & Redundancy,P1/P2,High,4,TBD,TBD,,,,Supplier mapping pending for this component,,,,Supplier mapping pending,Independent backup flight hardware on both drone and ground servers per EFC source.,TBD,6.0,4,
SF-03,Kevlar fuselage reinforcement,Safety & Redundancy,P1,Med,3,TBD,TBD,,,,Supplier mapping pending for this component,,,,Supplier mapping pending,Impact protection layer in fuselage. Confirmed in EFC technical documentation.,TBD,6.0,3,
GS-01,Pneumatic launch rail / catapult,Ground Support,P1,High,4,16–28 wks,16–32 wks,1,3,3,"Moderate concentration, but diversified options exist",1,1.6,6.4,Monitor,Accelerates P1 from 0–60 mph in 0.25 sec. Zipline proprietary launch infrastructure at each depot.,"Robonic Ltd, UAV Factory, JATO Dynamics (custom)",7.0,3,3
GS-02,Battery charging station,Ground Support,P1/P2,Med,3,TBD,TBD,,,,Supplier mapping pending for this component,,,,Supplier mapping pending,Fast-charge system for quick-swap battery packs. Required at each distribution center.,TBD,18.0,4,
GS-03,Ground control server / software,Ground Support,P1/P2,High,4,3–8 wks,4–12 wks,1,3,3,Low regional diversity; sourcing clustered in one country,1,1.6,6.4,Monitor,C++ and Python on ground systems. Redundant flight hardware also on ground servers per EFC.,"Dell Technologies (server hardware), Hewlett Packard Enterprise, Cisco Systems (networking)",7.0,3,3
